"表章項目","男女別","人口","時間軸（年月日現在）","全国・都道府県","/年齢5歳階級","総数","注釈","0～4歳","注釈","5～9歳","注釈","10～14歳","注釈","15～19歳","注釈","20～24歳","注釈","25～29歳","注釈","30～34歳","注釈","35～39歳","注釈","40～44歳","注釈","45～49歳","注釈","50～54歳","注釈","55～59歳","注釈","60～64歳","注釈","65～69歳","注釈","70～74歳","注釈","75～79歳","注釈","80～84歳","注釈","85歳以上","注釈"
"人口【千人】","男女計","総人口","2019年10月1日現在","島根県","","674","","26","","28","","29","","31","","26","","25","","31","","36","","42","","44","","38","","41","","45","","54","","52","","40","","35","","50",""
"人口【千人】","男女計","総人口","2019年10月1日現在","岡山県","","1890","","74","","79","","83","","92","","97","","90","","96","","106","","124","","139","","114","","107","","114","","130","","140","","112","","84","","106",""
"人口【千人】","男女計","総人口","2019年10月1日現在","広島県","","2804","","110","","122","","126","","133","","136","","130","","146","","162","","190","","217","","180","","163","","165","","194","","205","","164","","118","","141",""
"人口【千人】","男女計","総人口","2019年10月1日現在","山口県","","1358","","48","","53","","57","","62","","57","","54","","62","","71","","85","","96","","81","","79","","88","","109","","111","","91","","69","","86",""
"人口【千人】","男女計","総人口","2019年10月1日現在","徳島県","","728","","25","","27","","29","","32","","29","","28","","34","","40","","46","","51","","45","","45","","51","","60","","58","","44","","36","","47",""
"人口【千人】","男女計","総人口","2019年10月1日現在","香川県","","956","","36","","39","","41","","45","","42","","38","","46","","53","","64","","71","","59","","56","","61","","71","","76","","57","","44","","57",""
"人口【千人】","男女計","総人口","2019年10月1日現在","愛媛県","","1339","","48","","54","","57","","62","","53","","51","","63","","72","","87","","95","","83","","83","","90","","106","","105","","82","","65","","83",""
"人口【千人】","男女計","総人口","2019年10月1日現在","高知県","","698","","24","","26","","28","","31","","27","","25","","30","","36","","45","","49","","42","","43","","47","","56","","58","","46","","36","","50",""
"人口【千人】","男女計","総人口","2019年10月1日現在","福岡県","","5104","","216","","227","","228","","239","","275","","252","","275","","315","","352","","374","","319","","297","","310","","366","","346","","273","","204","","236",""
"人口【千人】","男女計","総人口","2019年10月1日現在","佐賀県","","815","","34","","37","","39","","41","","36","","34","","40","","47","","52","","53","","49","","51","","56","","64","","55","","44","","36","","47",""
"人口【千人】","男女計","総人口","2019年10月1日現在","長崎県","","1327","","52","","56","","59","","61","","51","","52","","61","","70","","80","","87","","82","","86","","95","","111","","97","","78","","65","","81",""
"人口【千人】","男女計","総人口","2019年10月1日現在","熊本県","","1748","","73","","79","","80","","82","","76","","74","","88","","99","","109","","111","","104","","108","","120","","135","","120","","96","","83","","108",""
"人口【千人】","男女計","総人口","2019年10月1日現在","大分県","","1135","","42","","47","","49","","53","","48","","45","","54","","63","","73","","76","","67","","67","","77","","90","","87","","69","","56","","71",""
"人口【千人】","男女計","総人口","2019年10月1日現在","宮崎県","","1073","","44","","49","","50","","50","","42","","40","","50","","59","","68","","69","","62","","67","","76","","88","","79","","61","","53","","66",""
"人口【千人】","男女計","総人口","2019年10月1日現在","鹿児島県","","1602","","66","","72","","74","","73","","62","","63","","76","","90","","98","","99","","94","","103","","120","","132","","110","","89","","78","","104",""
"人口【千人】","男女計","総人口","2019年10月1日現在","沖縄県","","1453","","81","","83","","82","","80","","74","","75","","86","","93","","100","","105","","91","","88","","92","","98","","66","","55","","49","","54",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","全国","","123731","","4679","","5031","","5294","","5707","","5960","","5862","","6475","","7329","","8540","","9640","","8429","","7606","","7451","","8654","","8645","","7212","","5310","","5908",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","北海道","","5211","","170","","191","","203","","223","","224","","221","","252","","292","","350","","385","","346","","339","","344","","424","","394","","317","","249","","286",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","青森県","","1240","","40","","44","","49","","55","","46","","46","","55","","66","","78","","86","","83","","86","","92","","106","","95","","77","","65","","72",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","岩手県","","1219","","40","","46","","51","","55","","45","","47","","56","","66","","78","","82","","78","","82","","89","","101","","87","","75","","65","","78",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","宮城県","","2283","","83","","91","","96","","106","","115","","114","","124","","139","","158","","166","","145","","143","","152","","173","","149","","120","","96","","113",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","秋田県","","963","","27","","31","","36","","39","","30","","30","","39","","49","","59","","62","","58","","66","","76","","89","","77","","64","","59","","71",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","山形県","","1070","","36","","41","","46","","50","","39","","40","","50","","59","","67","","69","","64","","70","","78","","90","","77","","63","","56","","74",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","福島県","","1831","","65","","69","","77","","86","","71","","73","","90","","101","","117","","124","","116","","124","","137","","154","","127","","105","","86","","108",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","茨城県","","2810","","101","","112","","123","","135","","125","","119","","141","","164","","191","","216","","185","","172","","184","","219","","206","","171","","117","","128",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","栃木県","","1906","","70","","77","","85","","90","","81","","82","","101","","116","","134","","147","","126","","118","","128","","149","","136","","106","","75","","86",""
