"表章項目","男女別","人口","時間軸（年月日現在）","全国・都道府県","/年齢5歳階級","総数","注釈","0～4歳","注釈","5～9歳","注釈","10～14歳","注釈","15～19歳","注釈","20～24歳","注釈","25～29歳","注釈","30～34歳","注釈","35～39歳","注釈","40～44歳","注釈","45～49歳","注釈","50～54歳","注釈","55～59歳","注釈","60～64歳","注釈","65～69歳","注釈","70～74歳","注釈","75～79歳","注釈","80～84歳","注釈","85歳以上","注釈"
"人口【千人】","男","総人口","2019年10月1日現在","沖縄県","","715","","41","","42","","42","","41","","38","","38","","43","","46","","50","","53","","45","","44","","46","","49","","32","","25","","21","","17",""
"人口【千人】","男","日本人人口","2019年10月1日現在","全国","","60208","","2397","","2575","","2711","","2927","","3063","","3000","","3300","","3724","","4341","","4892","","4255","","3809","","3682","","4192","","4076","","3225","","2191","","1847",""
"人口【千人】","男","日本人人口","2019年10月1日現在","北海道","","2455","","87","","97","","104","","114","","116","","112","","126","","145","","173","","190","","166","","163","","164","","198","","177","","134","","99","","90",""
"人口【千人】","男","日本人人口","2019年10月1日現在","青森県","","583","","20","","23","","25","","28","","25","","24","","28","","33","","39","","43","","40","","41","","44","","50","","44","","32","","24","","20",""
"人口【千人】","男","日本人人口","2019年10月1日現在","岩手県","","589","","20","","23","","26","","28","","24","","24","","29","","34","","40","","43","","39","","41","","44","","50","","41","","32","","25","","23",""
"人口【千人】","男","日本人人口","2019年10月1日現在","宮城県","","1116","","43","","46","","50","","54","","60","","59","","63","","70","","80","","85","","73","","72","","75","","85","","72","","54","","39","","35",""
"人口【千人】","男","日本人人口","2019年10月1日現在","秋田県","","453","","14","","16","","19","","20","","16","","16","","20","","25","","30","","31","","29","","32","","37","","43","","36","","27","","22","","21",""
"人口【千人】","男","日本人人口","2019年10月1日現在","山形県","","517","","19","","21","","23","","26","","21","","21","","26","","30","","35","","35","","32","","35","","39","","45","","38","","28","","22","","22",""
"人口【千人】","男","日本人人口","2019年10月1日現在","福島県","","908","","33","","36","","39","","44","","39","","39","","47","","53","","61","","66","","60","","64","","70","","78","","63","","48","","35","","33",""
"人口【千人】","男","日本人人口","2019年10月1日現在","茨城県","","1401","","52","","58","","63","","69","","67","","64","","75","","86","","100","","113","","96","","88","","92","","108","","99","","81","","51","","40",""
"人口【千人】","男","日本人人口","2019年10月1日現在","栃木県","","951","","36","","40","","44","","46","","43","","44","","53","","61","","71","","77","","65","","60","","64","","74","","66","","49","","32","","27",""
"人口【千人】","男","日本人人口","2019年10月1日現在","群馬県","","932","","34","","38","","43","","48","","43","","40","","47","","54","","66","","76","","65","","58","","60","","70","","68","","53","","34","","31",""
"人口【千人】","男","日本人人口","2019年10月1日現在","埼玉県","","3575","","137","","148","","157","","170","","192","","187","","196","","224","","268","","316","","269","","223","","205","","235","","238","","201","","125","","84",""
"人口【千人】","男","日本人人口","2019年10月1日現在","千葉県","","3051","","116","","124","","133","","146","","160","","154","","165","","189","","224","","264","","227","","190","","176","","205","","211","","176","","112","","80",""
"人口【千人】","男","日本人人口","2019年10月1日現在","東京都","","6589","","265","","256","","250","","268","","388","","440","","449","","488","","532","","580","","522","","426","","346","","359","","363","","292","","200","","165",""
"人口【千人】","男","日本人人口","2019年10月1日現在","神奈川県","","4483","","173","","186","","194","","211","","255","","251","","255","","289","","340","","399","","362","","292","","245","","268","","272","","228","","150","","114",""
"人口【千人】","男","日本人人口","2019年10月1日現在","新潟県","","1071","","39","","44","","48","","52","","46","","45","","54","","62","","75","","79","","72","","70","","76","","88","","78","","59","","44","","41",""
"人口【千人】","男","日本人人口","2019年10月1日現在","富山県","","498","","18","","20","","22","","25","","23","","21","","24","","29","","36","","41","","33","","31","","31","","37","","40","","30","","19","","18",""
"人口【千人】","男","日本人人口","2019年10月1日現在","石川県","","545","","22","","24","","25","","29","","29","","26","","28","","31","","39","","44","","36","","33","","33","","38","","40","","30","","18","","17",""
"人口【千人】","男","日本人人口","2019年10月1日現在","福井県","","368","","15","","16","","18","","19","","17","","16","","19","","21","","25","","28","","24","","24","","25","","28","","26","","20","","14","","14",""
"人口【千人】","男","日本人人口","2019年10月1日現在","山梨県","","391","","14","","16","","17","","21","","19","","17","","19","","21","","25","","30","","28","","27","","27","","30","","28","","22","","15","","15",""
"人口【千人】","男","日本人人口","2019年10月1日現在","長野県","","985","","38","","42","","47","","50","","41","","39","","47","","55","","68","","77","","68","","63","","64","","72","","72","","59","","41","","43",""
"人口【千人】","男","日本人人口","2019年10月1日現在","岐阜県","","941","","37","","42","","46","","50","","44","","39","","47","","54","","66","","75","","64","","59","","58","","68","","70","","55","","37","","32",""
"人口【千人】","男","日本人人口","2019年10月1日現在","静岡県","","1754","","67","","76","","82","","87","","76","","75","","93","","105","","124","","141","","124","","112","","113","","129","","125","","101","","67","","57",""
"人口【千人】","男","日本人人口","2019年10月1日現在","愛知県","","3661","","156","","167","","172","","186","","206","","204","","219","","240","","273","","314","","266","","223","","198","","217","","228","","186","","119","","89",""
"人口【千人】","男","日本人人口","2019年10月1日現在","三重県","","847","","33","","37","","39","","43","","40","","38","","44","","49","","59","","69","","59","","55","","53","","60","","60","","49","","33","","29",""
"人口【千人】","男","日本人人口","2019年10月1日現在","滋賀県","","683","","30","","33","","35","","37","","37","","35","","39","","43","","50","","55","","45","","41","","40","","45","","44","","34","","22","","19",""
"人口【千人】","男","日本人人口","2019年10月1日現在","京都府","","1206","","47","","51","","54","","60","","73","","67","","64","","69","","84","","97","","83","","72","","67","","78","","86","","70","","46","","39",""
"人口【千人】","男","日本人人口","2019年10月1日現在","大阪府","","4136","","166","","174","","186","","205","","231","","221","","228","","250","","294","","357","","308","","254","","221","","260","","281","","237","","153","","109",""
"人口【千人】","男","日本人人口","2019年10月1日現在","兵庫県","","2557","","106","","114","","121","","132","","126","","114","","131","","149","","179","","211","","181","","160","","153","","176","","183","","146","","96","","80",""
"人口【千人】","男","日本人人口","2019年10月1日現在","奈良県","","621","","24","","27","","29","","33","","31","","26","","29","","33","","41","","48","","42","","38","","38","","46","","47","","40","","26","","21",""
"人口【千人】","男","日本人人口","2019年10月1日現在","和歌山県","","432","","17","","18","","20","","22","","19","","17","","21","","23","","28","","33","","29","","28","","29","","33","","33","","27","","18","","17",""
"人口【千人】","男","日本人人口","2019年10月1日現在","鳥取県","","264","","11","","12","","13","","13","","12","","11","","13","","16","","18","","19","","16","","17","","19","","21","","19","","14","","10","","11",""
"人口【千人】","男","日本人人口","2019年10月1日現在","島根県","","321","","13","","14","","15","","16","","13","","12","","15","","18","","21","","22","","19","","20","","23","","27","","25","","18","","14","","15",""
"人口【千人】","男","日本人人口","2019年10月1日現在","岡山県","","897","","38","","41","","43","","46","","46","","43","","47","","52","","62","","70","","56","","52","","55","","62","","66","","50","","34","","33",""
"人口【千人】","男","日本人人口","2019年10月1日現在","広島県","","1339","","56","","62","","64","","68","","67","","64","","72","","80","","95","","108","","89","","80","","81","","93","","96","","73","","48","","43",""
"人口【千人】","男","日本人人口","2019年10月1日現在","山口県","","637","","24","","27","","29","","32","","28","","27","","31","","35","","42","","48","","39","","38","","42","","52","","51","","39","","27","","25",""
"人口【千人】","男","日本人人口","2019年10月1日現在","徳島県","","346","","13","","14","","15","","16","","15","","14","","17","","20","","23","","25","","22","","22","","25","","29","","28","","20","","15","","14",""
"人口【千人】","男","日本人人口","2019年10月1日現在","香川県","","458","","18","","20","","21","","23","","21","","18","","23","","26","","32","","36","","29","","27","","30","","35","","36","","26","","18","","18",""
"人口【千人】","男","日本人人口","2019年10月1日現在","愛媛県","","628","","24","","28","","29","","31","","27","","25","","30","","36","","43","","47","","40","","40","","43","","51","","49","","36","","26","","25",""
"人口【千人】","男","日本人人口","2019年10月1日現在","高知県","","327","","12","","13","","14","","16","","14","","12","","15","","18","","22","","24","","20","","21","","23","","27","","27","","20","","14","","15",""
"人口【千人】","男","日本人人口","2019年10月1日現在","福岡県","","2381","","109","","116","","116","","120","","129","","118","","131","","152","","171","","182","","152","","142","","148","","173","","158","","117","","78","","68",""
"人口【千人】","男","日本人人口","2019年10月1日現在","佐賀県","","383","","17","","19","","20","","21","","17","","16","","20","","23","","26","","26","","23","","24","","27","","31","","26","","19","","14","","14",""
"人口【千人】","男","日本人人口","2019年10月1日現在","長崎県","","620","","27","","29","","30","","31","","25","","25","","30","","34","","39","","42","","39","","41","","46","","54","","46","","33","","26","","23",""
"人口【千人】","男","日本人人口","2019年10月1日現在","熊本県","","819","","37","","41","","41","","41","","36","","35","","43","","48","","54","","55","","49","","52","","58","","65","","57","","41","","33","","33",""
"人口【千人】","男","日本人人口","2019年10月1日現在","大分県","","533","","22","","24","","25","","26","","23","","22","","27","","31","","37","","38","","32","","32","","37","","43","","40","","30","","22","","22",""
"人口【千人】","男","日本人人口","2019年10月1日現在","宮崎県","","502","","22","","25","","26","","25","","20","","19","","24","","29","","33","","34","","29","","32","","37","","42","","37","","27","","21","","20",""
"人口【千人】","男","日本人人口","2019年10月1日現在","鹿児島県","","749","","34","","37","","38","","37","","29","","29","","36","","43","","47","","48","","45","","49","","58","","65","","53","","39","","31","","30",""
"人口【千人】","男","日本人人口","2019年10月1日現在","沖縄県","","704","","41","","42","","42","","41","","36","","36","","42","","45","","50","","52","","45","","44","","46","","49","","32","","25","","21","","17",""
"人口【千人】","女","総人口","2019年10月1日現在","全国","","64756","","2320","","2489","","2610","","2835","","3089","","3025","","3305","","3723","","4301","","4846","","4258","","3859","","3810","","4492","","4591","","4003","","3130","","4070",""
"人口【千人】","女","総人口","2019年10月1日現在","北海道","","2778","","83","","94","","99","","110","","114","","114","","128","","150","","178","","196","","181","","177","","180","","226","","217","","183","","151","","196",""
"人口【千人】","女","総人口","2019年10月1日現在","青森県","","661","","20","","22","","24","","27","","22","","22","","28","","33","","39","","44","","43","","44","","49","","56","","51","","45","","41","","52",""
"人口【千人】","女","総人口","2019年10月1日現在","岩手県","","635","","20","","22","","25","","27","","22","","23","","27","","33","","38","","40","","39","","41","","45","","51","","46","","43","","40","","54",""
"人口【千人】","女","総人口","2019年10月1日現在","宮城県","","1179","","41","","45","","47","","52","","58","","57","","62","","70","","78","","82","","72","","72","","77","","89","","77","","66","","58","","77",""
"人口【千人】","女","総人口","2019年10月1日現在","秋田県","","512","","13","","15","","18","","19","","14","","15","","20","","24","","29","","31","","30","","34","","39","","46","","41","","37","","36","","50",""
"人口【千人】","女","総人口","2019年10月1日現在","山形県","","558","","18","","20","","22","","24","","19","","20","","25","","29","","33","","34","","33","","36","","40","","46","","39","","35","","34","","52",""
"人口【千人】","女","総人口","2019年10月1日現在","福島県","","931","","32","","33","","37","","42","","33","","35","","43","","49","","56","","60","","57","","61","","67","","77","","64","","57","","51","","75",""
"人口【千人】","女","総人口","2019年10月1日現在","茨城県","","1433","","50","","55","","60","","67","","61","","58","","69","","80","","93","","105","","92","","87","","93","","112","","107","","90","","66","","88",""
"人口【千人】","女","総人口","2019年10月1日現在","栃木県","","970","","34","","38","","42","","45","","39","","40","","49","","56","","65","","71","","62","","58","","64","","76","","70","","57","","44","","60",""
"人口【千人】","女","総人口","2019年10月1日現在","群馬県","","981","","33","","38","","42","","47","","43","","40","","45","","52","","64","","73","","64","","58","","60","","73","","73","","63","","47","","66",""
"人口【千人】","女","総人口","2019年10月1日現在","埼玉県","","3682","","134","","143","","152","","165","","195","","186","","193","","217","","254","","296","","254","","213","","204","","249","","266","","234","","159","","167",""
"人口【千人】","女","総人口","2019年10月1日現在","千葉県","","3155","","113","","120","","128","","139","","157","","151","","163","","185","","216","","251","","215","","183","","178","","219","","235","","203","","142","","158",""
"人口【千人】","女","総人口","2019年10月1日現在","東京都","","7075","","262","","254","","244","","270","","433","","466","","465","","492","","529","","582","","505","","410","","343","","376","","413","","379","","298","","353",""
"人口【千人】","女","総人口","2019年10月1日現在","神奈川県","","4613","","169","","180","","187","","204","","248","","239","","248","","281","","328","","385","","338","","275","","241","","282","","306","","275","","198","","230",""
"人口【千人】","女","総人口","2019年10月1日現在","新潟県","","1145","","37","","42","","45","","49","","43","","44","","52","","60","","72","","76","","71","","69","","76","","91","","84","","73","","65","","97",""
"人口【千人】","女","総人口","2019年10月1日現在","富山県","","537","","17","","19","","21","","24","","21","","19","","23","","27","","34","","40","","33","","31","","33","","40","","44","","37","","29","","43",""
"人口【千人】","女","総人口","2019年10月1日現在","石川県","","585","","21","","23","","25","","27","","26","","25","","27","","31","","38","","44","","37","","34","","35","","41","","45","","37","","28","","42",""
"人口【千人】","女","総人口","2019年10月1日現在","福井県","","394","","14","","16","","17","","19","","16","","15","","18","","21","","24","","27","","24","","24","","25","","29","","28","","25","","20","","31",""
"人口【千人】","女","総人口","2019年10月1日現在","山梨県","","414","","14","","15","","17","","19","","18","","16","","18","","21","","25","","29","","28","","26","","27","","31","","30","","27","","21","","32",""
"人口【千人】","女","総人口","2019年10月1日現在","長野県","","1049","","36","","41","","45","","48","","39","","38","","46","","54","","67","","74","","67","","63","","65","","75","","78","","69","","56","","89",""
"人口【千人】","女","総人口","2019年10月1日現在","岐阜県","","1022","","36","","41","","45","","49","","46","","41","","46","","54","","65","","75","","66","","62","","63","","74","","76","","66","","51","","67",""
"人口【千人】","女","総人口","2019年10月1日現在","静岡県","","1847","","65","","74","","79","","83","","74","","74","","88","","102","","118","","136","","121","","111","","114","","135","","137","","121","","93","","122",""
"人口【千人】","女","総人口","2019年10月1日現在","愛知県","","3773","","153","","162","","168","","178","","201","","196","","209","","228","","261","","299","","253","","218","","198","","232","","254","","220","","159","","184",""
"人口【千人】","女","総人口","2019年10月1日現在","三重県","","911","","32","","36","","39","","42","","40","","37","","43","","48","","58","","67","","59","","56","","56","","65","","67","","59","","46","","62",""
"人口【千人】","女","総人口","2019年10月1日現在","滋賀県","","715","","29","","32","","33","","36","","35","","33","","37","","42","","50","","54","","46","","42","","41","","47","","48","","39","","29","","41",""
"人口【千人】","女","総人口","2019年10月1日現在","京都府","","1349","","45","","49","","52","","59","","76","","69","","67","","74","","88","","101","","87","","77","","73","","90","","103","","88","","65","","85",""
"人口【千人】","女","総人口","2019年10月1日現在","大阪府","","4582","","161","","170","","178","","201","","246","","238","","242","","264","","309","","371","","318","","265","","237","","291","","331","","303","","218","","239",""
"人口【千人】","女","総人口","2019年10月1日現在","兵庫県","","2861","","102","","110","","117","","128","","136","","124","","136","","158","","189","","222","","194","","174","","168","","197","","212","","183","","138","","174",""
"人口【千人】","女","総人口","2019年10月1日現在","奈良県","","704","","23","","26","","29","","32","","33","","29","","31","","36","","43","","52","","47","","43","","43","","52","","56","","49","","34","","44",""
"人口【千人】","女","総人口","2019年10月1日現在","和歌山県","","490","","16","","18","","19","","21","","18","","17","","21","","24","","29","","34","","32","","31","","32","","37","","39","","35","","28","","38",""
"人口【千人】","女","総人口","2019年10月1日現在","鳥取県","","290","","10","","12","","12","","13","","10","","11","","13","","16","","18","","19","","17","","18","","20","","22","","21","","18","","16","","26",""
"人口【千人】","女","総人口","2019年10月1日現在","島根県","","349","","12","","14","","14","","15","","12","","12","","15","","17","","20","","22","","19","","20","","23","","27","","27","","23","","21","","35",""
"人口【千人】","女","総人口","2019年10月1日現在","岡山県","","980","","36","","39","","40","","44","","48","","44","","48","","53","","61","","69","","58","","55","","58","","67","","74","","62","","50","","74",""
"人口【千人】","女","総人口","2019年10月1日現在","広島県","","1442","","54","","60","","61","","64","","65","","62","","70","","80","","94","","107","","91","","82","","84","","101","","108","","91","","70","","99",""
"人口【千人】","女","総人口","2019年10月1日現在","山口県","","713","","23","","26","","28","","30","","27","","25","","30","","35","","42","","48","","42","","41","","45","","56","","60","","52","","42","","60",""
"人口【千人】","女","総人口","2019年10月1日現在","徳島県","","381","","12","","13","","14","","16","","14","","14","","17","","20","","23","","26","","23","","23","","26","","31","","30","","24","","21","","33",""
"人口【千人】","女","総人口","2019年10月1日現在","香川県","","492","","18","","19","","20","","22","","19","","18","","23","","26","","32","","35","","29","","28","","31","","37","","39","","31","","26","","39",""
"人口【千人】","女","総人口","2019年10月1日現在","愛媛県","","705","","23","","26","","28","","30","","25","","25","","31","","36","","43","","48","","43","","43","","47","","56","","56","","47","","40","","58",""
"人口【千人】","女","総人口","2019年10月1日現在","高知県","","369","","12","","13","","14","","15","","12","","12","","15","","18","","22","","25","","21","","22","","24","","29","","31","","26","","22","","36",""
"人口【千人】","女","総人口","2019年10月1日現在","福岡県","","2688","","105","","111","","111","","117","","137","","127","","140","","161","","180","","190","","165","","154","","161","","193","","187","","156","","125","","168",""
"人口【千人】","女","総人口","2019年10月1日現在","佐賀県","","429","","16","","18","","19","","20","","18","","17","","21","","24","","26","","27","","25","","26","","29","","33","","29","","25","","22","","34",""
"人口【千人】","女","総人口","2019年10月1日現在","長崎県","","702","","25","","27","","29","","30","","25","","26","","31","","36","","40","","45","","43","","45","","49","","57","","52","","45","","40","","58",""
"人口【千人】","女","総人口","2019年10月1日現在","熊本県","","922","","36","","38","","39","","40","","37","","38","","45","","50","","55","","57","","55","","56","","62","","70","","63","","55","","50","","75",""
"人口【千人】","女","総人口","2019年10月1日現在","大分県","","597","","21","","23","","24","","26","","23","","22","","27","","31","","36","","39","","34","","35","","40","","47","","46","","39","","34","","50",""
"人口【千人】","女","総人口","2019年10月1日現在","宮崎県","","568","","21","","24","","25","","25","","20","","20","","26","","30","","35","","35","","32","","35","","40","","45","","42","","35","","32","","46",""
"人口【千人】","女","総人口","2019年10月1日現在","鹿児島県","","849","","32","","35","","36","","36","","32","","33","","40","","46","","50","","51","","49","","53","","61","","66","","57","","50","","47","","73",""
"人口【千人】","女","総人口","2019年10月1日現在","沖縄県","","738","","39","","41","","40","","39","","36","","37","","44","","47","","50","","52","","45","","44","","46","","49","","34","","30","","28","","37",""
"人口【千人】","女","日本人人口","2019年10月1日現在","全国","","63523","","2282","","2456","","2583","","2779","","2897","","2862","","3175","","3605","","4199","","4749","","4175","","3797","","3768","","4462","","4569","","3986","","3119","","4061",""
"人口【千人】","女","日本人人口","2019年10月1日現在","北海道","","2756","","83","","93","","99","","109","","108","","110","","126","","148","","176","","195","","180","","177","","180","","226","","217","","183","","151","","196",""
"人口【千人】","女","日本人人口","2019年10月1日現在","青森県","","657","","20","","22","","24","","27","","21","","22","","27","","33","","39","","43","","42","","44","","49","","56","","51","","45","","41","","52",""
"人口【千人】","女","日本人人口","2019年10月1日現在","岩手県","","631","","20","","22","","25","","27","","21","","22","","27","","32","","38","","40","","38","","40","","44","","51","","46","","43","","40","","54",""
"人口【千人】","女","日本人人口","2019年10月1日現在","宮城県","","1167","","40","","45","","47","","52","","55","","55","","61","","69","","78","","81","","71","","71","","76","","88","","77","","66","","58","","77",""
"人口【千人】","女","日本人人口","2019年10月1日現在","秋田県","","509","","13","","15","","18","","19","","13","","14","","19","","24","","29","","31","","30","","34","","39","","46","","41","","37","","36","","50",""
"人口【千人】","女","日本人人口","2019年10月1日現在","山形県","","552","","17","","20","","22","","24","","18","","19","","24","","29","","33","","34","","32","","35","","39","","46","","39","","35","","34","","52",""
"人口【千人】","女","日本人人口","2019年10月1日現在","福島県","","923","","32","","33","","37","","42","","32","","34","","42","","48","","55","","59","","56","","60","","67","","76","","64","","57","","51","","75",""
"人口【千人】","女","日本人人口","2019年10月1日現在","茨城県","","1408","","49","","55","","60","","66","","58","","55","","66","","78","","91","","103","","89","","85","","92","","112","","106","","90","","66","","88",""
"人口【千人】","女","日本人人口","2019年10月1日現在","栃木県","","955","","34","","38","","41","","44","","38","","38","","48","","55","","64","","70","","61","","57","","63","","75","","70","","57","","44","","60",""
"人口【千人】","女","日本人人口","2019年10月1日現在","群馬県","","955","","32","","37","","41","","45","","39","","36","","43","","50","","62","","71","","62","","56","","60","","73","","73","","63","","47","","66",""
"人口【千人】","女","日本人人口","2019年10月1日現在","埼玉県","","3599","","131","","141","","150","","161","","184","","175","","184","","209","","246","","289","","248","","209","","201","","248","","265","","233","","158","","167",""
"人口【千人】","女","日本人人口","2019年10月1日現在","千葉県","","3090","","110","","118","","127","","137","","150","","143","","156","","178","","210","","245","","209","","179","","175","","217","","234","","202","","141","","158",""
"人口【千人】","女","日本人人口","2019年10月1日現在","東京都","","6817","","254","","246","","238","","258","","393","","426","","435","","466","","508","","563","","489","","397","","335","","371","","409","","377","","296","","352",""
"人口【千人】","女","日本人人口","2019年10月1日現在","神奈川県","","4514","","165","","177","","185","","201","","237","","226","","236","","270","","319","","377","","330","","270","","237","","280","","305","","274","","198","","230",""
"人口【千人】","女","日本人人口","2019年10月1日現在","新潟県","","1135","","36","","42","","45","","49","","42","","42","","51","","59","","71","","75","","70","","69","","75","","91","","84","","73","","65","","97",""
"人口【千人】","女","日本人人口","2019年10月1日現在","富山県","","528","","17","","19","","21","","23","","20","","18","","22","","26","","33","","39","","33","","31","","33","","40","","44","","37","","29","","43",""
"人口【千人】","女","日本人人口","2019年10月1日現在","石川県","","579","","21","","23","","25","","27","","25","","24","","26","","31","","38","","43","","36","","34","","35","","41","","45","","37","","28","","42",""
"人口【千人】","女","日本人人口","2019年10月1日現在","福井県","","388","","14","","16","","17","","18","","15","","14","","18","","20","","24","","27","","24","","24","","25","","29","","28","","24","","20","","31",""
"人口【千人】","女","日本人人口","2019年10月1日現在","山梨県","","407","","14","","15","","17","","19","","17","","16","","18","","20","","24","","28","","27","","26","","27","","31","","30","","26","","21","","32",""
"人口【千人】","女","日本人人口","2019年10月1日現在","長野県","","1030","","36","","40","","44","","48","","36","","36","","44","","52","","65","","72","","65","","62","","64","","75","","77","","69","","56","","89",""
"人口【千人】","女","日本人人口","2019年10月1日現在","岐阜県","","998","","35","","40","","44","","47","","43","","38","","44","","51","","62","","73","","64","","61","","62","","74","","76","","66","","51","","67",""
"人口【千人】","女","日本人人口","2019年10月1日現在","静岡県","","1803","","63","","72","","78","","81","","68","","69","","84","","97","","114","","132","","117","","109","","113","","134","","137","","121","","93","","122",""
"人口【千人】","女","日本人人口","2019年10月1日現在","愛知県","","3655","","148","","158","","164","","173","","185","","182","","196","","215","","251","","290","","245","","213","","195","","229","","252","","219","","158","","184",""
"人口【千人】","女","日本人人口","2019年10月1日現在","三重県","","890","","31","","35","","38","","41","","36","","35","","40","","46","","56","","65","","58","","55","","55","","65","","67","","59","","46","","61",""
"人口【千人】","女","日本人人口","2019年10月1日現在","滋賀県","","702","","29","","32","","33","","35","","33","","32","","36","","41","","49","","53","","45","","42","","41","","47","","47","","39","","29","","41",""
"人口【千人】","女","日本人人口","2019年10月1日現在","京都府","","1320","","45","","48","","52","","57","","71","","66","","64","","72","","86","","100","","86","","76","","72","","89","","101","","87","","64","","84",""
"人口【千人】","女","日本人人口","2019年10月1日現在","大阪府","","4486","","158","","168","","177","","197","","234","","227","","234","","256","","303","","365","","313","","259","","232","","286","","327","","299","","216","","237",""
"人口【千人】","女","日本人人口","2019年10月1日現在","兵庫県","","2812","","101","","109","","116","","126","","129","","119","","132","","154","","186","","218","","191","","172","","165","","195","","210","","181","","137","","173",""
"人口【千人】","女","日本人人口","2019年10月1日現在","奈良県","","698","","23","","26","","28","","32","","32","","28","","31","","36","","43","","52","","47","","43","","43","","52","","56","","49","","34","","44",""
"人口【千人】","女","日本人人口","2019年10月1日現在","和歌山県","","486","","16","","18","","19","","21","","18","","17","","21","","24","","28","","34","","32","","31","","31","","37","","39","","35","","28","","38",""
"人口【千人】","女","日本人人口","2019年10月1日現在","鳥取県","","287","","10","","11","","12","","13","","10","","10","","13","","15","","17","","18","","16","","18","","20","","22","","21","","18","","16","","26",""
"人口【千人】","女","日本人人口","2019年10月1日現在","島根県","","344","","12","","13","","14","","15","","11","","11","","15","","17","","20","","21","","19","","20","","22","","27","","27","","23","","21","","35",""
"人口【千人】","女","日本人人口","2019年10月1日現在","岡山県","","968","","36","","38","","40","","44","","45","","42","","47","","52","","61","","68","","57","","54","","58","","67","","74","","62","","50","","74",""
"人口【千人】","女","日本人人口","2019年10月1日現在","広島県","","1422","","53","","59","","61","","64","","61","","60","","68","","78","","92","","106","","89","","81","","84","","100","","108","","91","","69","","99",""
"人口【千人】","女","日本人人口","2019年10月1日現在","山口県","","704","","23","","26","","28","","30","","25","","24","","29","","35","","42","","47","","42","","40","","45","","56","","60","","51","","42","","60",""
"人口【千人】","女","日本人人口","2019年10月1日現在","徳島県","","378","","12","","13","","14","","16","","14","","13","","16","","19","","23","","26","","23","","23","","26","","31","","30","","24","","21","","33",""
"人口【千人】","女","日本人人口","2019年10月1日現在","香川県","","487","","17","","19","","20","","22","","18","","17","","22","","26","","32","","35","","29","","28","","31","","37","","39","","31","","26","","39",""
"人口【千人】","女","日本人人口","2019年10月1日現在","愛媛県","","700","","23","","26","","28","","30","","24","","24","","31","","36","","43","","48","","43","","43","","47","","56","","56","","47","","40","","58",""
"人口【千人】","女","日本人人口","2019年10月1日現在","高知県","","367","","12","","13","","14","","15","","12","","12","","15","","18","","22","","25","","21","","22","","24","","29","","31","","26","","22","","35",""
"人口【千人】","女","日本人人口","2019年10月1日現在","福岡県","","2658","","104","","110","","111","","116","","130","","123","","138","","158","","178","","188","","164","","153","","160","","192","","186","","155","","125","","168",""
"人口【千人】","女","日本人人口","2019年10月1日現在","佐賀県","","425","","16","","18","","19","","20","","17","","16","","20","","23","","26","","27","","25","","26","","29","","33","","29","","25","","22","","34",""
"人口【千人】","女","日本人人口","2019年10月1日現在","長崎県","","698","","25","","27","","29","","30","","24","","25","","30","","35","","40","","44","","43","","45","","49","","57","","52","","45","","40","","58",""
"人口【千人】","女","日本人人口","2019年10月1日現在","熊本県","","913","","36","","38","","39","","40","","34","","36","","44","","49","","55","","56","","54","","56","","62","","70","","63","","55","","50","","75",""
"人口【千人】","女","日本人人口","2019年10月1日現在","大分県","","590","","21","","23","","24","","25","","21","","21","","26","","31","","36","","38","","34","","35","","40","","47","","46","","39","","34","","50",""
"人口【千人】","女","日本人人口","2019年10月1日現在","宮崎県","","563","","21","","24","","24","","24","","19","","19","","25","","30","","34","","35","","32","","35","","40","","45","","42","","35","","32","","46",""
"人口【千人】","女","日本人人口","2019年10月1日現在","鹿児島県","","840","","32","","35","","36","","36","","29","","31","","39","","46","","50","","50","","49","","53","","61","","66","","57","","50","","47","","73",""
"人口【千人】","女","日本人人口","2019年10月1日現在","沖縄県","","730","","39","","41","","40","","39","","34","","36","","43","","47","","50","","52","","45","","44","","46","","48","","33","","30","","28","","37",""
