"_acquisition_time","P#","Prefecture","Prefecture (ja)","Cases","Recovered","Deaths","Deaths (Calculated)","Reinfected","NHK Difference","Active"
"2020/08/06 16:25:45 -0900","21","<a href=""https://www.google.com/url?q=https://covid19-gifu.netlify.app/&sa=D&ust=1596702397352000&usg=AFQjCNFzXgtuw2agZmn_PqX6QByFx8UZ7Q"" rel=""noreferrer"" target=""_blank"">Gifu</a>","岐阜県","400","230","7","7","","","163"
"2020/08/06 16:25:45 -0900","22","<a href=""https://www.google.com/url?q=https://stopcovid19.code4numazu.org/&sa=D&ust=1596702397353000&usg=AFQjCNEi83k2nwh0Gf_isk73vn6oIiy7-g"" rel=""noreferrer"" target=""_blank"">Shizuoka</a>","静岡県","345","185","1","1","1","0","160"
"2020/08/06 16:25:45 -0900","23","<a href=""https://www.google.com/url?q=https://www.pref.aichi.jp/site/covid19-aichi/&sa=D&ust=1596702397353000&usg=AFQjCNGYgQglrEbpiweHDr7hB7BdjBE7xw"" rel=""noreferrer"" target=""_blank"">Aichi</a>","愛知県","2656","667","36","36","5","-5","1958"
"2020/08/06 16:25:45 -0900","24","<a href=""https://www.google.com/url?q=https://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066_00002.htm&sa=D&ust=1596702397353000&usg=AFQjCNEgkZYmlq-gDBeWl9OjIt1Y3W7EBA"" rel=""noreferrer"" target=""_blank"">Mie</a>","三重県","181","57","1","1","1","-1","124"
"2020/08/06 16:25:45 -0900","25","<a href=""https://www.google.com/url?q=https://www.pref.shiga.lg.jp/ippan/kenkouiryouhukushi/yakuzi/309252.html&sa=D&ust=1596702397354000&usg=AFQjCNHhE_dyTKLGWIeWRrXSlavD-eAtDA"" rel=""noreferrer"" target=""_blank"">Shiga</a>","滋賀県","236","143","1","1","","","92"
"2020/08/06 16:25:45 -0900","26","<a href=""https://www.google.com/url?q=https://www.pref.kyoto.jp/kentai/corona/pcrkensa.html&sa=D&ust=1596702397354000&usg=AFQjCNHg9coViUGT1AcgFK0OnVdN_iBr9A"" rel=""noreferrer"" target=""_blank"">Kyoto</a>","京都府","903","579","21","21","","","303"
"2020/08/06 16:25:45 -0900","27","<a href=""https://www.google.com/url?q=http://www.pref.osaka.lg.jp/iryo/osakakansensho/corona.html&sa=D&ust=1596702397354000&usg=AFQjCNHAEoQMargXqSBW2PLYUpUsR4uHlQ"" rel=""noreferrer"" target=""_blank"">Osaka</a>","大阪府","4916","3119","92","92","","","1705"
"2020/08/06 16:25:45 -0900","28","<a href=""https://www.google.com/url?q=https://web.pref.hyogo.lg.jp/kk03/200129.html%23kensa_new&sa=D&ust=1596702397354000&usg=AFQjCNFeVXlZS1kRV1FysiIMrN5f0v0rTQ"" rel=""noreferrer"" target=""_blank"">Hyogo</a>","兵庫県","1485","1008","46","46","","","431"
"2020/08/06 16:25:45 -0900","29","<a href=""https://www.google.com/url?q=http://www.pref.nara.jp/module/1356.htm%23moduleid1356&sa=D&ust=1596702397355000&usg=AFQjCNH0OzC1dvXTlY17izQQni1dFZo6pQ"" rel=""noreferrer"" target=""_blank"">Nara</a>","奈良県","293","199","2","2","","","92"
"2020/08/06 16:25:45 -0900","30","<a href=""https://www.google.com/url?q=https://stopcovid19.wakayama.jp/&sa=D&ust=1596702397355000&usg=AFQjCNGnceYatwJ3QtjBoElaqisavQ77kQ"" rel=""noreferrer"" target=""_blank"">Wakayama</a>","和歌山県","173","122","3","3","","","48"
"2020/08/06 16:25:45 -0900","31","<a href=""https://www.google.com/url?q=https://www.pref.tottori.lg.jp/item/1205989.htm%23itemid1205989&sa=D&ust=1596702397355000&usg=AFQjCNFWKQ8JqUO22mexg3sG04_C_Ij8cQ"" rel=""noreferrer"" target=""_blank"">Tottori</a>","鳥取県","20","5","0","0","","","15"
"2020/08/06 16:25:45 -0900","32","<a href=""https://www.google.com/url?q=https://www.pref.shimane.lg.jp/bousai_info/bousai/kikikanri/shingata_taisaku/new_coronavirus_portal.html&sa=D&ust=1596702397355000&usg=AFQjCNGPbIuk7y7AQwrpDMEQmM1I92cMqA"" rel=""noreferrer"" target=""_blank"">Shimane</a>","島根県","29","27","0","0","","","2"
"2020/08/06 16:25:45 -0900","33","<a href=""https://www.google.com/url?q=https://okayama.stopcovid19.jp/&sa=D&ust=1596702397356000&usg=AFQjCNG380OYLrF1B8lzSHcZyfU49lWgcQ"" rel=""noreferrer"" target=""_blank"">Okayama</a>","岡山県","103","53","0","0","","","50"
"2020/08/06 16:25:45 -0900","34","<a href=""https://www.google.com/url?q=https://www.pref.hiroshima.lg.jp/soshiki/57/covid19-cases.html&sa=D&ust=1596702397356000&usg=AFQjCNFoSeg7cqhybNxXYm4Gc7KGxvRUIQ"" rel=""noreferrer"" target=""_blank"">Hiroshima</a>","広島県","390","247","3","3","3","-3","143"
"2020/08/06 16:25:45 -0900","35","<a href=""https://www.google.com/url?q=https://www.pref.yamaguchi.lg.jp/cms/a10000/korona2020/202004240002.html&sa=D&ust=1596702397356000&usg=AFQjCNHl6Rpg70t3SH_CzxgaksnCnjE0Hw"" rel=""noreferrer"" target=""_blank"">Yamaguchi</a>","山口県","61","46","0","0","","","15"
"2020/08/06 16:25:45 -0900","36","<a href=""https://www.google.com/url?q=https://www.pref.tokushima.lg.jp/ippannokata/kenko/kansensho/5034012%2325&sa=D&ust=1596702397356000&usg=AFQjCNG-cYlCMO0akAaWC2x5nGwBFn9YvQ"" rel=""noreferrer"" target=""_blank"">Tokushima</a>","徳島県","44","9","1","1","","","34"
"2020/08/06 16:25:45 -0900","37","<a href=""https://www.google.com/url?q=https://www.pref.kagawa.lg.jp/content/etc/subsite/kansenshoujouhou/kansen/sr5cfn200127213457.shtml&sa=D&ust=1596702397357000&usg=AFQjCNHlvrKiPwqApLWOI_jDvlC8i3UTOg"" rel=""noreferrer"" target=""_blank"">Kagawa</a>","香川県","53","42","0","0","","","11"
"2020/08/06 16:25:45 -0900","38","<a href=""https://www.google.com/url?q=https://ehime-covid19.com/&sa=D&ust=1596702397357000&usg=AFQjCNHVfT54LOwngGKVrIxXiNvs0NQJsw"" rel=""noreferrer"" target=""_blank"">Ehime</a>","愛媛県","100","82","5","5","","","13"
"2020/08/06 16:25:45 -0900","39","<a href=""https://www.google.com/url?q=https://www.pref.kochi.lg.jp/soshiki/130401/2020022900049.html&sa=D&ust=1596702397358000&usg=AFQjCNGGIelQPmWqowf2o92UCKzDhQXp8A"" rel=""noreferrer"" target=""_blank"">Kochi</a>","高知県","82","74","3","3","","","5"
"2020/08/06 16:25:45 -0900","40","<a href=""https://www.google.com/url?q=https://www.pref.fukuoka.lg.jp/contents/covid19-hassei.html&sa=D&ust=1596702397358000&usg=AFQjCNHUGE97xNq5lBaZJxHAO5_YdSbmvQ"" rel=""noreferrer"" target=""_blank"">Fukuoka</a>","福岡県","2478","1201","35","35","4","-4","1242"
"2020/08/06 16:25:45 -0900","41","<a href=""https://www.google.com/url?q=https://stopcovid19.code4saga.org/en/&sa=D&ust=1596702397358000&usg=AFQjCNH_FYwp6_FReLDlfoOeot_AJ3Ll8w"" rel=""noreferrer"" target=""_blank"">Saga</a>","佐賀県","119","62","0","0","2","-2","59"
"2020/08/06 16:25:45 -0900","42","<a href=""https://www.google.com/url?q=https://www.pref.nagasaki.jp/bunrui/hukushi-hoken/kansensho/corona_nagasaki/corona_nagasaki_shousai/&sa=D&ust=1596702397359000&usg=AFQjCNHju5Ht5VPKQdAHuLqnR-Ud47P58w"" rel=""noreferrer"" target=""_blank"">Nagasaki</a>","長崎県","143","32","2","2","","","109"
"2020/08/06 16:25:45 -0900","43","<a href=""https://www.google.com/url?q=https://kumamoto.stopcovid19.jp/&sa=D&ust=1596702397359000&usg=AFQjCNEtbVCmdby6U-ufu6AIYj-76oLtfA"" rel=""noreferrer"" target=""_blank"">Kumamoto</a>","熊本県","326","58","5","5","1","-1","264"
"2020/08/06 16:25:45 -0900","44","<a href=""https://www.google.com/url?q=http://www.pref.oita.jp/site/covid19-oita/covid19-pcr.html&sa=D&ust=1596702397360000&usg=AFQjCNESZNk1vv_zJ_lA5bLQMStG1HrVAw"" rel=""noreferrer"" target=""_blank"">Oita</a>","大分県","74","59","1","1","","","14"
"2020/08/06 16:25:45 -0900","45","<a href=""https://www.google.com/url?q=https://covid19-miyazaki.netlify.app/&sa=D&ust=1596702397360000&usg=AFQjCNEefgG5xsQ0E2M9ZGQKIQue7DwR_Q"" rel=""noreferrer"" target=""_blank"">Miyazaki</a>","宮崎県","215","27","0","0","","","188"
"2020/08/06 16:25:45 -0900","46","<a href=""https://www.google.com/url?q=https://covid19.code4kagoshima.org/&sa=D&ust=1596702397360000&usg=AFQjCNGVK4FdGU3v5UMXpryF7OqAgch2_w"" rel=""noreferrer"" target=""_blank"">Kagoshima</a>","鹿児島県","266","183","2","2","","0","81"
"2020/08/06 16:25:45 -0900","47","<a href=""https://www.google.com/url?q=https://www.pref.okinawa.jp/site/hoken/chiikihoken/kekkaku/covid19_hasseijoukyou.html&sa=D&ust=1596702397360000&usg=AFQjCNGQ1u1aPJfS-9DjJ5op3OpXs-rgiQ"" rel=""noreferrer"" target=""_blank"">Okinawa</a>","沖縄県","790","302","7","7","4","3","485"
