"_acquisition_time","Prefecture","Prefecture En","","5/12","5/11","5/10","5/9","5/8","5/7","5/6","5/5","5/4","5/3","5/2","5/1","4/30","4/29","4/28","4/27","4/26","4/25","4/24","4/23","4/22","4/21","4/20","4/19","4/18","4/17","4/16","4/15","4/14","4/13","4/12","4/11","4/10","4/9","4/8","4/7","4/6","4/5","4/4","4/3","4/2","4/1","3/31"
"2020/05/15 02:16:19 -0900","多摩","Tama","","28","28","29","29","29","29","29","29","29","29","29","29","28","28","28","28","28","28","24","23","21","21","19","19","19","16","13","12","8","7","5","5","0","0","0","0","0","0","0","0","0","0","0"
"2020/05/15 02:16:19 -0900","稲城","Inagi","","10","10","10","10","10","10","10","10","10","10","10","9","9","9","9","9","9","9","8","6","6","6","6","6","6","6","6","6","6","5","4","4","4","3","3","3","3","3","3","3","3","3","1"
"2020/05/15 02:16:19 -0900","羽村","Hamura","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","3","3","3","3","3","3"
"2020/05/15 02:16:19 -0900","あきる野","Akiruno","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","5","4","3","3","3","3","2","2","2","2","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
"2020/05/15 02:16:19 -0900","西東京","Nishitokyo","","42","42","42","42","42","42","42","41","40","36","34","34","34","33","31","31","30","29","28","27","26","26","25","21","19","18","15","13","13","13","11","11","10","10","10","9","9","10","9","9","9","9","8"
"2020/05/15 02:16:19 -0900","瑞穂","Mizuho","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","日の出","Hinode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","檜原","Hinohara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","奥多摩","Okutama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","大島","Ōshima","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","利島","Toshima","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","新島","Nii-jima","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","神津島","Kozushima","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","三宅","Miyake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","御蔵島","Mikurajima","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","八丈","Hachijo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","青ヶ島","Aogashima","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","小笠原","Ogasawara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/15 02:16:19 -0900","都外","Outside Tokyo","","199","169","165","164","162","159","156","152","147","144","142","134","128","124","120","119","118","115","110","105","100","86","85","82","77","76","67","63","60","58","52","50","48","46","42","39","36","32","27","22","22","20","20"
"2020/05/15 02:16:19 -0900","調査中","Unknown","","99","199","552","552","552","551","551","550","547","547","542","527","487","487","487","461","459","442","440","437","422","421","412","412","410","400","384","377","371","367","365","278","249","236","203","174","170","170","162","158","141","118","116"
